tweetID,created_at,location,username,fixedText
1575496908998510000,2022-09-29 14:45:09+00:00,,wwbrrt,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496889453090000,2022-09-29 14:45:04+00:00,"Oak Ridge, East Tennessee",tweetmattingly,"RT @saletan: Abrams, who lost the 2018 GA gov race, ""has said the election was 'stolen' and ... that 'I won.' She suggested that election laws were 'rigged' ... She refused to say [Kemp] was the 'legitimate' governor.""

Now she claims ""I have never denied that I lost."" https://t.co/f8E2RVxQgX"
1575496881035050000,2022-09-29 14:45:02+00:00,,TruthBiznich,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496807508930000,2022-09-29 14:44:44+00:00,,StuartVaclavick,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496794246900000,2022-09-29 14:44:41+00:00,"Trump Beach County, FL",Brent35326403,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496711614520000,2022-09-29 14:44:22+00:00,FloridaFreeZone,lisam02184,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496625908110000,2022-09-29 14:44:01+00:00,,lentulo11,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496619423710000,2022-09-29 14:44:00+00:00,Fifth Floor Serena Hotel Kabul,Sasha31313704,@MuzzammilAslam3 Election year hy jo kabara kar sakay karay ga...: Dar Sahib back 4th time as Finance Minister. This time what he will do different? https://t.co/HxxPgM5Vdx
1575496469175360000,2022-09-29 14:43:24+00:00,,ToverWes,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496467628030000,2022-09-29 14:43:23+00:00,,pennynd2,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496432228110000,2022-09-29 14:43:15+00:00,"Texas, USA",jimaggie93,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496374056980000,2022-09-29 14:43:01+00:00,"Houston, TX",EM_Railgun,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496196935680000,2022-09-29 14:42:19+00:00,"Indiana, USA",kmos58,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496171958640000,2022-09-29 14:42:13+00:00,,Nick67143459,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496161427060000,2022-09-29 14:42:10+00:00,United States In God We Trust,scoundral_days,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496089947450000,2022-09-29 14:41:53+00:00,"Tennessee, USA ",CaylorProfesor,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496026961550000,2022-09-29 14:41:38+00:00,,lovinglivin4,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575496014332460000,2022-09-29 14:41:35+00:00,,TiffMoodNukes,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495791825020000,2022-09-29 14:40:42+00:00,"Alberta, Canada",SandraI1971,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495732312020000,2022-09-29 14:40:28+00:00,Washington DC,AmericanPapist,"RT @saletan: Abrams, who lost the 2018 GA gov race, ""has said the election was 'stolen' and ... that 'I won.' She suggested that election laws were 'rigged' ... She refused to say [Kemp] was the 'legitimate' governor.""

Now she claims ""I have never denied that I lost."" https://t.co/f8E2RVxQgX"
1575495732181680000,2022-09-29 14:40:28+00:00,"California, USA",durtyshotz,"RT @nuency25: @Peoples_Pundit @GOPGovs @dougmastriano The @GOP E RED DISTRICT 2020 fraud is never talked about. Those strange down ballot splits? I fear for the AZ election. They’ve managed to cover up GA but if Lake &amp; Finchum get in, they are toast. Ducey, the McCain mafia, GOPE will be pulling out all the stops. Flake as amb? Why?"
1575495690892980000,2022-09-29 14:40:18+00:00,"Chula Vista, CA",cvg7471,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495667916540000,2022-09-29 14:40:13+00:00,,Bobberram,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495588333780000,2022-09-29 14:39:54+00:00,"Huntington Beach, CA",Sara65861092,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495545145020000,2022-09-29 14:39:43+00:00,,OKIEMAGA1962,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495508897930000,2022-09-29 14:39:35+00:00,,WS76025683,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495355419930000,2022-09-29 14:38:58+00:00,USA,christi93673854,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495236142260000,2022-09-29 14:38:30+00:00,,Yock_Shamiya,RT @Chicago1Ray: Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575495137484210000,2022-09-29 14:38:06+00:00,"Chicago, IL",Chicago1Ray,Now that (GA) reinforced election integrity chances for Stacey Abrams in (Nov) are slim and none
1575494920218930000,2022-09-29 14:37:14+00:00,"Arkansas, USA",stillwaters1029,"RT @CREWcrew: When Trump attempted to get GA Secretary of State Raffensperger to create fraudulent election results, he likely violated multiple laws. A special grand jury in Fulton County is investigating, although it is not clear exactly what criminal charges are under consideration."
1575492880239820000,2022-09-29 14:29:08+00:00,"Savannah, GA / Hilton Head, SC",WSAV,Kemp up by 7 points in Ga. governor race against Abrams: survey https://t.co/gj2GRGdAGR via @WSAV
1575492451040570000,2022-09-29 14:27:26+00:00,OB,ryderguthrie,"RT @saletan: Abrams, who lost the 2018 GA gov race, ""has said the election was 'stolen' and ... that 'I won.' She suggested that election laws were 'rigged' ... She refused to say [Kemp] was the 'legitimate' governor.""

Now she claims ""I have never denied that I lost."" https://t.co/f8E2RVxQgX"
1575492032554230000,2022-09-29 14:25:46+00:00,,PunchinThClock,"RT @saletan: Abrams, who lost the 2018 GA gov race, ""has said the election was 'stolen' and ... that 'I won.' She suggested that election laws were 'rigged' ... She refused to say [Kemp] was the 'legitimate' governor.""

Now she claims ""I have never denied that I lost."" https://t.co/f8E2RVxQgX"
1575491663644230000,2022-09-29 14:24:18+00:00,,KoonsKarl,"There's no ""president"" tRump.
Back in court to face legal accountability for his many crimes. Including real estate fraud, soliciting election fraud in GA, leading the MAGA's on a crusade to overthrow the US Gov't so he could illegally retain power and theft of classified intel. https: President Trump will be back."
1575491594178130000,2022-09-29 14:24:01+00:00,,KoonsKarl,"@ACTBrigitte There's no ""president"" tRump.
Back in court to face legal accountability for his many crimes. Including real estate fraud, soliciting election fraud in GA, leading the MAGA's on a crusade to overthrow the US Gov't so he could illegally retain power and theft of classified intel.: President Trump will be back."
1575491512179170000,2022-09-29 14:23:42+00:00,"Warsaw, PL",randymot4,"@staceyabrams Digging up old bogus racism allegations is not helpful for your election. Last time GA voters have to se you on he ballot, we all hope!: When Trayvon Martin was shot, the law that let his murderer go free was signed by a governor. Jim Crow laws that denied Black folks citizenship for 150 years were signed by governors.

Who your governor is, matters. Georgia deserves a governor who believes in our right to thrive."
1575491449373990000,2022-09-29 14:23:27+00:00,"North Florida, USA",FamousSheymus1,"@DineshDSouza Why did you lie about Ga election law?: I’m delighted to have played a role in creating a new movie distribution platform for content creators. “2000 Mules” was the first film made available for streaming on Locals 

Sell Movies, Specials, or Anything On-Demand on Locals – Locals Blog https://t.co/FZNu9jLR2U"
1575491314195360000,2022-09-29 14:22:55+00:00,,sgaut,"If Trump can’t be indicted for #January6th, for trying to steal the Election, for his GA Call, for the Fake Electors, then LEAVE HIM THE FUCK ALONE! 

I won’t watch any coverage of another DT Investigation!: If Trump isn’t Indicted &amp; Prosecuted then I think there should be no future investigations into him. 

All we’re doing is proving his talking point, which is it’s all a witch-hunt!"
1575490164046330000,2022-09-29 14:18:20+00:00,"Washington, DC",saletan,"Abrams, who lost the 2018 GA gov race, ""has said the election was 'stolen' and ... that 'I won.' She suggested that election laws were 'rigged' ... She refused to say [Kemp] was the 'legitimate' governor.""

Now she claims ""I have never denied that I lost."" https://t.co/f8E2RVxQgX"
1575489836857030000,2022-09-29 14:17:02+00:00,,a_grinis,@HerschelWalker @RileyGaines @AmberEnglish18 Women of GA and men who love them—as we draw closer to the election make all your friends and family aware of this and put it on all your social media: So great to have @RileyGaines and @AmberEnglish18 with me yesterday in Calhoun and Canton to highlight the importance of keeping women’s sports for women! #gasen #gapol https://t.co/78qGlp1JQb
1575488800901300000,2022-09-29 14:12:55+00:00,,RandoHeHim,@mikki807 She could stop lying in public venues about the 2016 election results in GA and fetal heart sounds. That would help her numbers.: @thehill I'm hoping this is wrong. I'm hoping that women show up in droves to the polls💙
1575488636086140000,2022-09-29 14:12:16+00:00,Portugal,GBresimo,"@Bologna_Pirate @ABradfordUK @Brandonfreemana @Burghbrawler703 @MatthewDavidHa4 @Timcast you think what she is saying here is the same as trump calling for decertification, calling to stop counting votes, shaking down GA election officials for exactly however many votes he needed to win the state and calling the entire system a sham? 
you are very brainwashed: @ABradfordUK @GBresimo @Brandonfreemana @Burghbrawler703 @MatthewDavidHa4 @Timcast Lol 2016 USA presidential election was stolen.  Hillary still isn’t over it :-P Putin is so good at election rigging he did it in 2016 not 2020 :-P 

https://t.co/crRtnAQbM8"
1575488601554410000,2022-09-29 14:12:08+00:00,,doris_sher,@415holgate Trump is facing at least 3 grand jury investigations: President Trump’s staggering record of uncharged crimes https://t.co/2GZxKP4sn3
1575488347975610000,2022-09-29 14:11:07+00:00,,JaneLo43468284,We know at least MI and GA have had election equipment breaches from 2020 Republican Election Deniers. How can the Secretary of State protect the integrity of the voting machines? We know the Repubs are not opposed to cheating.
1575487501300420000,2022-09-29 14:07:46+00:00,United States,Bethe57,"RT @VippusaO: ""I've lost my name, and I've lost my reputation. I've lost my sense of security — all because a group of people... scapegoat[ed] me and my daughter, Shaye, to push their own lies about how the election was stolen.""
- Ruby Freeman, GA election worker 
https://t.co/aSUA6zMusS 06"
1575487265823800000,2022-09-29 14:06:49+00:00,Pakistan,dteshabbir97gb,"@muqadasawann IK ka estafa manzoor kar k election commission uss seat par election karway aur phir waha Maryam Nawaz aur IK ka one to one muqabala hy,sach Maza aa jye ga Muqadas Bibi: مریم نواز کے پاس 9 حلقوں میں عمران خان کا مقابلہ کرنے کا زبردست موقع"
1575486011680830000,2022-09-29 14:01:50+00:00,"Atlanta, GA",STERNLawLLC,"📌 
𝐎𝐜𝐭𝐨𝐛𝐞𝐫 𝟏𝟏, 𝟐𝟎𝟐𝟐 is the #GA 𝐕𝐨𝐭𝐞𝐫 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐚𝐭𝐢𝐨𝐧 𝐃𝐞𝐚𝐝𝐥𝐢𝐧𝐞 for the following elections: 
🇺🇸 November 8 General Election &amp;  Special Election
🇺🇸 December 6 General Election Runoffs &amp; Special Election Runoffs 

#STERNLaw #getoutthevote #vote https://t.co/rFgbUFZ6zk"
1575485898031960000,2022-09-29 14:01:23+00:00,Atlanta,VippusaO,"""I've lost my name, and I've lost my reputation. I've lost my sense of security — all because a group of people... scapegoat[ed] me and my daughter, Shaye, to push their own lies about how the election was stolen.""
- Ruby Freeman, GA election worker 
https://t.co/aSUA6zMusS 06"
1575485557739700000,2022-09-29 14:00:02+00:00,,GOP_chuds,"Hi, my name is Jyotsna Talapaneni and I'm a Physician at United Digestive Care in Johns Creek, GA, 30097. I gave $500 to GOP candidates and committees ahead of the Nov. 2022 election."
1575483659280610000,2022-09-29 13:52:30+00:00,,josephcollins77,"@cdrsalamander @JoePlenzler @Pub_Discourse We had an excellent election in 2020. 50 governors and over 60 judges concurred w DOJ and DHS. TWO most contested states, GA and AZ proved results in multiple recounts. There were zero contested slates of electors presented to Electoral College.: @JoePlenzler @Pub_Discourse We put a man on the moon over half a century ago. We should be able to run an election that is at least as well run as a UN election in a nation where less than 50% of the population has indoor plumbing."
1575483292802940000,2022-09-29 13:51:02+00:00,"Florida, USA",tmsb215,"RT @EdgedInBlueish: @HeterodoxUSA A 2-time impeached, 2-time loser of the popular vote, one-term president who tried to fix an election, incited an insurrection against his own country and then stole classified documents to do who-knows-what with?

Yea, that guy may never vote again after he faces NY, GA and DOJ"
1575482145224950000,2022-09-29 13:46:29+00:00,"Tamil Nadu, Chennai,India",REBELST99790410,"@pawanfied @_DayaNTR9999 Election lo meeru TDP,BJP modda gudisinatte ga: @REBELST99790410 @_DayaNTR9999 Okari modda okaru gudusthe thappa survive avvalerentra meeru vallu"
1575482021706870000,2022-09-29 13:45:59+00:00,"Dubai, United Arab Emirates",Moin79058502,"@KhawajaMAsif Kam chukka ga tata @UdarOfficial  agla election ma.
Note kar lol Mari baat.: Good shot Dar saheb
کم چک کےرکھو https://t.co/wQusvT5wDF"
1575481121848130000,2022-09-29 13:42:25+00:00,"Melville, NY",shahida58790385,"@Hackerr_pk Hum nai election begaray ga InSha Allah: اگر میں سب چوروں کی آڈیو لیک کر دوں
تو سوال یہ بنتا ہے کہ آپ ان کا کیا بگاڑ لیں گے؟ https://t.co/QHKromOKXR"
1575479750138920000,2022-09-29 13:36:58+00:00,,SrivalliRcQueen,RT @dir_lokesh_fan: Nuvu kuda election ki one or two weeks mundu mutton chicken curies inka briyani lu petu babai @PawanKalyan vote automatic ga padtai
1575478198372010000,2022-09-29 13:30:48+00:00,"Milwaukee,WI,USA",changerous63,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575476691639700000,2022-09-29 13:24:48+00:00,,kopprz,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575476607912800000,2022-09-29 13:24:28+00:00,ALEC MUST SEE,Destroy_ALEC,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575476269042490000,2022-09-29 13:23:08+00:00,"Milwaukee, WI",aplindurrrr,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575476067934290000,2022-09-29 13:22:20+00:00,Vijayawada,justvishall,"Uullo enni samasyalunna adi oori destiny anukuni, election time lo intiki rakapothe matram personal ga teeskuntaranukunta

Issues ki respond aithe pratisari expect chestaremo ani politicians kuda only election time lone vastundochu: I think chala mandiki issues meeda fight chesinappudu kante prsnl ga interact aithe ekkuva connect autadi anukunta

Anduke evaruu ekkuva dabbulichi koddi mandi kanneellu thudavakunda, ade dabbuni ekkuva mandiki saripoyela koddi koddiga panchutaru, election mundu navvuthu vachi. https://t.co/IMSpZcclhT"
1575474476178980000,2022-09-29 13:16:00+00:00,,AMESCE,"@Jamshad42264631 @VeenaMalikPTI @hinaparvezbutt Sahee baat hai, khan ager samajh raha hai two third se next election mein ajayega tu yeh uska khuwaab hai. Jo yeh faisla karwa chuka hai, wohe inko next time phir se ley aye ga.: @VeenaMalikPTI @hinaparvezbutt Veena jee jany do ab ye log buhat takkatwar ha sab kuch kar sakty ha ye Jeet gaye ha sach me"
1575474467257870000,2022-09-29 13:15:58+00:00,"Wisconsin, USA",SortedCastiel,"@AngryFleas @serafine_jerry @AmoneyResists 🤣🤣.  Total fabrication.  I can look online and come up with multiple total registers voters nationwide.  The count I am referring to is each state.  More importantly, WI, PA, AZ, GA.  These states have already found errors.  It turns the election.: @SortedCastiel @serafine_jerry @AmoneyResists Nope.

OVER 200 MILLION active registered voters, and about 160m voted. 

That is a #fact 

Official US Election Assistance Commission (EAC) report to Congress: https://t.co/If4qH0SlAn https://t.co/wLtINQs2we"
1575474346529000000,2022-09-29 13:15:29+00:00,"District of Columbia, USA",PeacefulStorm7,"@thedebster24 @PrinceHAK33M They might not have a choice.
Kemp has been rigging elections in GA since 2012. Dude ""lost"" 40,000 voter registration forms in the 2014 election.: @PrinceHAK33M They will"
1575473805258290000,2022-09-29 13:13:20+00:00,Vijayawada,justvishall,"I think chala mandiki issues meeda fight chesinappudu kante prsnl ga interact aithe ekkuva connect autadi anukunta

Anduke evaruu ekkuva dabbulichi koddi mandi kanneellu thudavakunda, ade dabbuni ekkuva mandiki saripoyela koddi koddiga panchutaru, election mundu navvuthu vachi. https: Elections ki one week mundu prathi oorlo nuvu kuda mutton biryani,chicken curry,fish fry, petinchu Anna,votes ave padthayi @PawanKalyan"
1575473468975740000,2022-09-29 13:12:00+00:00,,Munna__tweetz,"Food kosam vacharu anta 
Ala anukuntey 
Pk election campaign ki vachina vallu antey 
Fans kantey ga"
1575473448452850000,2022-09-29 13:11:55+00:00,"Short Hills, NJ",nuency25,"@Peoples_Pundit @GOPGovs @dougmastriano The @GOP E RED DISTRICT 2020 fraud is never talked about. Those strange down ballot splits? I fear for the AZ election. They’ve managed to cover up GA but if Lake &amp; Finchum get in, they are toast. Ducey, the McCain mafia, GOPE will be pulling out all the stops. Flake as amb? Why?: The @GOPGovs Association abandoned @dougmastriano not because he could not win, but because he can and they do not want him Governor of Pennsylvania when Donald Trump runs for President in 2024.

Governors absolutely impact how presidential votes are counted in a state."
1575473381993870000,2022-09-29 13:11:39+00:00,"Madison, WI",JakeMadtown,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575473303212660000,2022-09-29 13:11:21+00:00,Mahabubnagar,Shiva_Shiny_,"RT @Hemant67929449: @unexpected183 @Shiva_Shiny_ @RamCharanCult27 raju ante Pawan la kukka la aravala endhi,,he is king by his heart not by his mannerism or attitude,urike bojanam pettaru kada,,okka acation kavali,,ayna adi cheyali ani rule em ledu ga,he is not contest of election ryt?just fan ni kuda consider chesi tana goppatanam chupinchad"
1575472674737990000,2022-09-29 13:08:51+00:00,St Copious Northern Nebraska,randyholt4,"@Politidope The scary part is that no one knows the % swing that will happen from GOP's ruthless &amp; never ending election rigging &amp; stealing efforts. 

Is GA 1 of the states where the GOPSelectors can now legally ignore vote totals if they want? Tough to keep track of the 500 laws changed.: The 13% “undecided/won’t vote” here is scary as hell. 

It’s why those who do care have to do more than simply vote when it’s time. We have to educate and advocate so that the small piece of the 13% in our networks know what’s at stake. https://t.co/E6h750uV5d"
1575472294348060000,2022-09-29 13:07:20+00:00,,9d6f512ecd354ce,"@fawadchaudhry Ap log beth k chankany bajayen,or chup kr k next year tk election ka intazar karen.pti se na ho ga kuch b,band karen awam ku bewaqof banana...khan shb ku awam ki taqat py bharosa ni.or wo bethy intazar me k astablishment support de unhe.ju possible ni ab....: جج کی خلاف رپورٹ بنانا ضروری ہے۔۔۔۔ For the Kind a consideration of CJP https://t.co/1xtAL6lfFt"
1575471642339600000,2022-09-29 13:04:45+00:00,,MaheshG88666459,"RT @Hemant67929449: @unexpected183 @Shiva_Shiny_ @RamCharanCult27 raju ante Pawan la kukka la aravala endhi,,he is king by his heart not by his mannerism or attitude,urike bojanam pettaru kada,,okka acation kavali,,ayna adi cheyali ani rule em ledu ga,he is not contest of election ryt?just fan ni kuda consider chesi tana goppatanam chupinchad"
1575471530829840000,2022-09-29 13:04:18+00:00,Srikakulam,Ssmb561,"@arunkalyan5 @PawanKalyan Mari 2019 election lo padina votes kuda alane paddayi ga: Elections ki one week mundu prathi oorlo nuvu kuda mutton biryani,chicken curry,fish fry, petinchu Anna,votes ave padthayi @PawanKalyan"
1575469677295310000,2022-09-29 12:56:56+00:00,"Madison, Wisconsin",_erika_lyn,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575469613827110000,2022-09-29 12:56:41+00:00,left Germany for Mid-West USA,dragin97,"RT @Braveheart_USA: Election night totals when counts stopped:
PA Trump by 682,000 votes (15.2%)
GA Trump by 311,000 votes (7.5%)
MI Trump by 307,000 votes (9.8%)
WI Trump by 128,000 votes (4.9%)
NC Trump by 77,000 votes (1.4%)
At 4AM the delivery trucks came.
100s eyewitnesses.
Cell phone footage."
1575469296796540000,2022-09-29 12:55:25+00:00,,FarhanA15764106,"@DrDanish5 Dr sub agar gharat Ha to ao election me aj hi pata chal jy ga ap ke ghulam or paise sahafi k zaraye ka sirf batun mat kare fight kare ground is open: پہلے ہے ہی عمران خان اپنے پاؤں میں کلہاڑی مارکر اپنی حکومت کا خاتمہ کروا چکے ہیں اور اپنے بیانات سےمزید دشواری پیدا کررہے تھے مگر ۔۔
اس آڈیو لیکس کے بعد اب مستقبل کے تمام سیاسی راستے انکے لیے بند ہوچکے
بقول اہم زرائع وہ 1000بار بھی جنم لےلیں کسی پبلک عہدے پہ اب نہیں آسکتے!"
1575466882299310000,2022-09-29 12:45:50+00:00,"Kano, Nigeria",sandatireda,"Recap of SANDA DIREBA
 Wanan tsari ne da za ku ga motochin mu na zirga zirga a kano su na daukan mutane daga gu kaza zuwa gu kaza a takaicecen kudi kaman naira dari daya, naira sabain da naira hamsin.
#kano#north#nigeria#kanawandabo#arewa#election#viraltweet#transport#trips https://t.co/AFoqm560JE"
1575466755371060000,2022-09-29 12:45:19+00:00,Delhi NCR,deepakbudki,@KreatelyMedia @SSChauhan_CCE Phir 2029 election ke liya kaun sa mudda reh jaye ga?: 🚨 देर लगी लेकिन कुचल डाला #PFIBan https://t.co/OBuWDLW9xp
1575465969232840000,2022-09-29 12:42:12+00:00,,Desk_of_Dave,"Too bad the leaders in GA, like @GovKemp , won't allow Fulton County GA to investigate the very clear fraud that occurred there. He probably thinks @staceyabrams won't steal this election from him because he's on their side... https: New Analysis from, That Banned and Dangerous Person

Pennsylvania county government lawsuits generate electronic voting machine vulnerability evidence that legacy media claims does not exist. 

Fulton County PA Sues Dominion Voting Systems
https://t.co/FEaFVg9heM"
1575465932830400000,2022-09-29 12:42:03+00:00,United States,SamShibe71,"@RepMTG The most hated ""Person"" in Georgia next to Trump.

And what's the connection between this looser MTG and Trump trying to steal the election by asking for more votes then he actually got!

MTG is involved in the GA Trump begging and illegal request for votes? https: Today and everyday is 1776.

Never give up our freedoms.

Never let the left steal them away.

Be a watchman on the wall and stay on guard every single second of every single day because the left will stop at nothing until they destroy our faith, our families, and our freedoms."
1575465834386010000,2022-09-29 12:41:40+00:00,,LeighAnnEskew,🚨A must watch! Dominion Rep at the GA State Election Board yesterday saying the paper ballots can’t be hacked. (Video credit: Sarah Wiseman) @GAballots https://t.co/cncT5SywN7
1575465569943710000,2022-09-29 12:40:37+00:00,"London, England",EngrSyed3,"@gm_uaegm Babra shareef ke najaiz betaye ko koi ye bhi batye ke agar PTI establishment ke shoulders pe khari thi tu kal election karwye #kamranshahid ko pata lag jaye ga ke result kya hota hy: کامران شاہد نے صرف ایک منٹ 21 سیکنڈ میں کپتان کی 26 سالہ جدوجہد کو پاش پاش کر کے رکھ دیا۔ 👇😁👏
سادہ الفاظ میں کامران شاہد کا کہنا ہے کہ 
#سائفر_کی_بتی_بنا_لو 😁😂 https://t.co/Jg2G4Ndi7N"
1575465238203340000,2022-09-29 12:39:18+00:00,,ej4200,"RT @JudLounsbury: Ron Johnson is a liar.

He was one of the 8 Senators that was seeking to block the 2020 election results in AZ, WI, MI, PA &amp; GA and replace them with a fake set of electors. It's only because the insurrection failed that they stopped their scheme after Arizona. 

He was involved. https://t.co/YIcOdsyOGM https://t.co/dOvejs0JFc"
1575464337577310000,2022-09-29 12:35:43+00:00,"Sialkot, Pakistan",EnterprisesMeji,"@TararAttaullah Achi zubaan ragr rhy ho
Keep it up
Election mein to ana haina 
Dhool chataye gi AWAAM insha'Allah KHAN 2/3 majority sy aye ga
Or Tum saary kharam khor chor Jailo mein hongy: Alhamdulillah !!!! https://t.co/PjItYNFL7x"
